STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN
USC00414333,4/26/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",13,0,272,222
USC00414333,4/27/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,306,239
USC00414333,4/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,294,244
USC00414333,4/29/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,294,200
USC00414333,4/30/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,294,144
USC00414333,5/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,256,144
USC00414333,5/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,261,144
USC00414333,5/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,283,244
USC00414333,5/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,283,239
USC00414333,5/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",58,0,289,206
USC00414333,5/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",178,0,311,144
USC00414333,5/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,250,144
USC00414333,5/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",152,0,239,178
USC00414333,5/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",262,0,244,172
USC00414333,5/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,256,178
USC00414333,5/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",10,0,300,222
USC00414333,5/12/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,294,244
USC00414333,5/13/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,300,228
USC00414333,5/14/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,300,228
USC00414333,5/15/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",132,0,289,200
USC00414333,5/16/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",10,0,300,206
USC00414333,5/17/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",279,0,300,194
USC00414333,5/18/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",284,0,283,200
USC00414333,5/19/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",300,0,261,200
USC00414333,5/20/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",94,0,217,250
USC00414333,5/21/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",81,0,283,211
USC00414333,5/22/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",13,0,278,222
USC00414333,5/23/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",8,0,283,228
USC00414333,5/24/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,300,222
USC00414333,5/25/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,306,222
USC00414333,5/26/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,317,206
USC00414333,5/27/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,322,211
USC00414333,5/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,328,211
USC00414333,5/29/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,317,222
USC00414333,5/30/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",338,0,306,228
USC00414333,5/31/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,300,244
USC00414333,6/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,306,256
USC00414333,6/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,306,250
USC00414333,6/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,311,228
USC00414333,6/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,317,217
USC00414333,6/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",18,0,317,217
USC00414333,6/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,333,217
USC00414333,6/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,328,228
USC00414333,6/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",122,0,306,233
USC00414333,6/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",18,0,306,222
USC00414333,6/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",269,0,256,211
USC00414333,6/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,294,211
USC00414333,6/12/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,317,222
USC00414333,6/13/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,306,228
USC00414333,6/14/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,317,228
USC00414333,6/15/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,317,228
USC00414333,6/16/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",165,0,278,217
USC00414333,6/17/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",175,0,328,211
USC00414333,6/18/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,322,222
USC00414333,6/19/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",254,0,328,211
USC00414333,6/20/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,300,211
USC00414333,6/21/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,311,217
USC00414333,6/22/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",20,0,317,228
USC00414333,6/23/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",79,0,322,222
USC00414333,6/24/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,322,233
USC00414333,6/25/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",150,0,317,222
USC00414333,6/26/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",76,0,311,211
USC00414333,6/27/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,328,222
USC00414333,6/28/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,322,228
USC00414333,6/29/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",30,0,306,217
USC00414333,6/30/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,317,239
USC00414333,7/1/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,322,228
USC00414333,7/2/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,339,228
USC00414333,7/3/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,333,222
USC00414333,7/4/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,339,228
USC00414333,7/5/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",10,0,333,239
USC00414333,7/6/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",13,0,317,228
USC00414333,7/7/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,328,228
USC00414333,7/8/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,289,228
USC00414333,7/9/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",3,0,333,239
USC00414333,7/10/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,328,239
USC00414333,7/11/1991,"HOUSTON NATIONAL WEATHER SERVICE OFFICE, TX US",0,0,333,244
